,url,type,2nd_type,3rd_type,active
186,dailydiscord.com,satire,,,
187,dailyheadlines.com,fake, ,,
188,dailyheadlines.net,fake, ,,
189,dailyinfobox.com,fake,,,
190,dailyken.com,hate,,,
191,dailykos.com,political,clickbait, ,
192,dailyleak.org,satire,fake,,
193,dailynews10.com,fake,,,
194,dailynews5.com,fake,,,
195,dailynewsbin.com,bias,clickbait,,
196,dailynewspolitic.com,unknown,,,
197,dailynewsposts.info,fake,,,
198,dailyoccupation.com,conspiracy,bias,,
199,dailypolitics.info,unknown,,,
200,dailypoliticsusa.com,bias,,,
201,dailysignal.com,bias,,,
202,dailysnark.com,satire,,,
203,dailysquib.co.uk,satire,,,
204,dailystormer.com,hate,conspiracy,bias,
205,dailysurge.com,fake,,,
206,dailytelegraph.com.au,bias,rumor,,
207,dailyusaupdate.com,fake,,,
208,dailywire.com,bias,,,
209,damnleaks.com,fake,,,
210,dandygoat.com,satire,,,
211,darkmoon.me,hate,bias,,
212,darkpolitricks.com,bias,conspiracy,,
213,dataasylum.com,conspiracy,junksci,,
214,DaveJanda.com,unreliable,,,
215,davidduke.com,hate,,,
216,davidstockmanscontracorner.com,political,,,
217,davidwolfe.com,conspiracy,,,
218,dcclothesline.com,conspiracy,junksci,,
219,dcgazette.com,fake,,,
220,dcleaks.com,unreliable,,,
221,ddemocraticunderground.com,fake,,,
222,DeadLineLive.info,political,conspiracy,,
223,DeadlyClear.wordpress.com,bias,fake,,
224,debunkingskeptics.com,bias,conspiracy,,
225,defenddemocracy.press,bias,political,,
226,delectabledietofpics.net,unknown,,,N
227,dennismichaellynch.com,political,,,
228,denverguardian.com,fake,,,
229,departed.co,fake,,,
230,departedmedia.com,fake,,,
231,der-postillon.com,satire,,,
232,derfmagazine.com,satire,,,
233,dineal.com,junksci,,,
234,disclose.tv,satire,conspiracy,,
235,disclosuremedia.net,conspiracy,,,
236,dissentmagazine.org,political,,,
237,diversitychronicle.wordpress.com,satire,,,
238,DIYhours.net,fake,,,
239,DollarVigilante.com,bias,,,
240,donaldtrumpnews.co,fake,,,
241,DonaldTrumpPotus45.com,fake,,,
242,Dont-Tread-On.Me,conspiracy,,,
243,downtrend.com,fake,satire,,
244,DProgram.net,unknown,,,N
245,drrichswier.com,hate,bias,,
246,drudgereport.com,political,bias,,
247,drudgereport.com.co,fake,,,
248,duffleblog.com,satire,,,
249,duhprogressive.com,satire,,,
250,Dutchsinse.com,conspiracy,,,
251,EagleRising.com,bias,clickbait,,
252,EbolaHoax.com,conspiracy,,,N
253,economicnoise.com,political,unreliable,,
254,ecowatch.com,political,,,
255,educate-yourself.org,conspiracy,junksci,,
256,educateinspirechange.org/health,clickbait,junksci,,
257,electionnightgatekeepers.com,conspiracy,unreliable,,
258,elelephantintheroom.blogspot.com,bias,,,
259,elitereaders.com,clickbait,,,
260,elkoshary.com,satire,,,
261,elmundotoday.com,satire,,,
262,embols.com,fake,,,
263,Empirehearland.com,fake,,,
264,empireherald.com,fake,satire,,
265,empirenews.net,fake,satire,,
266,empirenews.net,fake,,,
267,empiresports.co,satire,,,
268,empiresports.co,satire,,,
269,Emptywheel.net,political,,,
270,en-vovle.com,fake,,,
271,enabon.com,fake,,,
272,endingthefed.com,bias, ,,
273,endoftheamericandream.com,conspiracy,fake,political,
274,endtime.com,bias,clickbait,political,
275,enduringvision.com,fake,,,
276,english.ruvr.ru,unknown,,,
277,enhlive.com,fake,,,
278,EUTimes.net,hate,conspiracy,,
279,eutopia.buzz,fake,satire,conspiracy,
280,everydayworldnews.com,unknown,,,
281,everythingnewdaily.com,unknown,,,
282,ewao.com,junksci,,,
283,ExperimentalVaccines.org,junksci,conspiracy,,
284,Expose1933.com,conspiracy,hate,,
285,express.co.uk,rumor,,,
286,extraclubmagazine.com,bias,clickbait,fake,
287,eyeopening.info,conspiracy,junksci,,
288,fakingnews.com,fake,satire,,
289,familysecuritymatters.org,conspiracy,bias,,
290,fantasticword.com,unknown,,,N
291,FarmWars.info,fake,conspiracy,,
292,federalistpress.com,bias,,,
293,fedsalert.com,fake,,,
294,fellowshipoftheminds.com,conspiracy,junksci,,
295,filmsforaction.org,political,,,
296,FinancialSurvivalNetwork.com,unreliable,bias,,
297,firearmscoalition.org,bias, ,,
298,flashnewscorner.com,fake,,,
299,floridasunpost.com,fake,satire,,
300,flyheight.com,unknown,,,
301,fmobserver.com,satire,,,
302,fognews.ru,satire,,,
303,foodbabe.com,junksci,,,
304,foreignpolicyjournal.com,political,,,
305,fort-russ.com,unknown,,,N
306,fourwinds10.net,conspiracy,junksci,,
307,fprnradio.com,conspiracy,fake,,
308,freakoutnation.com,bias,,,
309,FreeBeacon.com,bias,,,
310,freedomdaily.com,fake,,,
311,FreedomForceInternational.com,conspiracy,,,
312,freedomoutpost.com,conspiracy,bias, ,
313,FreedomsPhoenix.com,bias,conspiracy,,
314,freedomworks.org,political,,,
315,freedomworldnews.com,bias,unreliable,,
316,freepatriot.org,satire,,,
317,freewoodpost.com,satire,,,
318,freshdailyreport.com,fake,,,
319,fridaymash.com,satire,,,
320,fromthetrenchesworldreport.com,conspiracy,junksci,bias,
321,frontpagemag.com,bias,hate,,
322,fusion.net,political,reliable,,
323,gaia.com,conspiracy,junksci,,
324,galacticconnection.com,junksci,,,
325,gangstergovernment.com,conspiracy,bias,,
326,gatesofvienna.net,hate,conspiracy,,
327,geoengineeringwatch.org,junksci,conspiracy,,
328,geopolmonitor.com,political,,,
329,givemeliberity01.com,fake,,,
330,glaringhypocrisy.com,hate,conspiracy,,
331,GlobalEconomicAnalysis.com,unknown,,,N
332,globalpoliticsnow.com,fake,,,
333,globalresearch.ca,conspiracy,,,
334,glossynews.com,satire,,,
335,godlikeproductions.com,conspiracy,,,
336,gomerblog.com,satire,,,
337,goneleft.com,fake,,,
338,GonzaloLira.Blogspot.com,unknown,,,
339,gopthedailydose.com,fake,conspiracy,bias,
340,govtslaves.info,conspiracy,,,
341,greanvillepost.com,conspiracy,,,
342,GreenMedInfo.com,junksci,,,
343,guardianlv.com,political,,,
344,guccifer2.wordpress.com,unreliable,,,
345,gulagbound.com,bias, ,,
346,gummypost.com,fake,,,
347,hangthebankers.com,conspiracy, ,,
348,healthimpactnews.com,junksci,bias,,
349,healthnutnews.com,junksci,,,
350,healthy-holistic-living.com,junksci,clickbait,,
351,healthycareandbeauty.com,fake,unreliable,,
352,healthyworldhouse.com,fake,,,
353,heartland.org,bias,,,
354,heatst.com,clickbait,bias,,
355,henrymakow.com,conspiracy, ,,
356,heresyblog.net,bias,conspiracy,rumor,
357,heritage.org,political,,,
358,holyobserver.com,satire,,,
359,horowitzfreedomcenter.org,bias,,,
360,humansarefree.com,conspiracy,,,
361,humortimes.com,satire,,,
362,huzlers.com,satire,,,
363,icr.org,junksci,,,
364,ifyouonlynews.com,unreliable,satire,,
365,igrewupinusa.info,unknown,,,N
366,ihavethetruth.com,bias,clickbait,fake,
367,ihr.org,hate,,,
368,ijr.com,political,bias,unreliable,
369,illuminati-news.com,conspiracy,,,
370,ilovemyfreedom.org,bias,clickbait,,
371,immediatesafety.org,fake,,,
372,in5d.com,junksci,,,
373,indiaarising.com,clickbait,unreliable,,
374,infiniteunknown.net,conspiracy,,,
375,informationclearinghouse.info,conspiracy,unreliable,,
376,informetoday.com,bias,unreliable,,
377,infostormer.com,fake,hate,conspiracy,
378,infowars.com,conspiracy,,,
379,instaworldnews.com,bias,,,
380,intellihub.com,conspiracy,unreliable,,
381,interestingdailynews.com,fake,,,
382,intrendtoday.com,fake,clickbait,,
383,intrepidreport.com,bias,,,
384,investmentresearchdynamics.com,conspiracy,,,
385,investmentwatchblog.com,bias,fake,,
386,ironictimes.com,satire,,,
387,islamicanews.com,satire,,,
388,itaglive.com,fake,,,
389,ITCCS.org,conspiracy,,,
390,ItMakesSenseBlog.com,fake,,,
391,iwanttoexplore.com,fake,,,
392,jackpineradicals.com,political,,,
393,jacobinmag.com,political,,,
394,jamesrgrangerjr.com,bias,,,
395,jesus-is-savior.com,conspiracy,,,
396,jewsnews.co.il,unreliable,bias,fake,
397,jihadwatch.org,conspiracy,hate,,
398,johnnyrobish.com,satire,,,
399,jonesreport.com,conspiracy,,,
400,journal-neo.org,bias,,,
401,judicialwatch.org,political,,,
402,katehon.com,bias,,,
403,katehon.org,unknown,,,
404,kauilapele.wordpress.com,unknown,,,
405,kingworldnews.com,unknown,,,
406,KMT11.com,fake,,,
407,knowledgeoftoday.org,conspiracy,,,
408,konkonsagh.biz,fake,,,
409,krbcnews.com,fake,,,
410,ky12news.com,fake,,,
411,ladylibertynews.com,fake,,,
412,landoverbaptist.org,satire,,,
413,lastdeplorables.com,fake,,,
414,learnprogress.org,fake,bias,,
415,legorafi.fr,unknown,,,
416,lewrockwell.com,bias,unreliable,political,
417,liberalamerica.org,clickbait,bias,,
418,liberalbias.com,satire,,,
419,liberaldarkness.com,satire,fake,,
420,liberalplug.com,fake,,,
421,libertyalliance.com,fake,,,
422,libertyblitzkrieg.com,bias,,,
423,libertyfederation.com,hate,,,
424,libertymovementradio.com,conspiracy,,,
425,libertynews.com,unreliable,bias,,
426,libertytalk.fm,conspiracy,,,
427,libertyunyielding.com,bias,,,
428,libertyvideos.org,conspiracy,,,
429,libertywritersnews.com,clickbait,bias,unreliable,
430,lifeandabout.com,bias,,,
431,lifenews.com,bias,clickbait,,
432,lifeprevention.com,junksci,,,
433,lifesitenews.com,clickbait,bias,,
434,lifezette.com,clickbait,,,
435,lightlybraisedturnip.com,unknown,,,
436,liveactionnews.org,bias,,,
437,livefreelivenatural.com,unknown,,,N
438,livevote.com,clickbait,,,
439,loanpride.com,rumor,clickbait,,
440,local31news.com,fake,,,
441,lovethispic.com,clickbait,junksci,,
442,lushforlife.com,satire,,,
443,Mad-Yet.blogspot.com,unreliable,,,
444,madpatriots.com,unreliable,clickbait,,
445,madworldnews.com,fake,,,
446,madworldnews.com,unreliable,hate,,
447,madworldnews.com,unreliable,clickbait,,
448,magafeed.com,rumor,bias,fake,
449,maganews.co,fake,,,
450,majorthoughts.com,fake,,,
451,makeamericagreattoday.com,bias,fake,,
452,meanlefthook.com,bias,clickbait,,
453,mediamass.net,fake,,,
454,mediazone.news,rumor,unreliable,,
455,megafreshnews.com,rumor,,,
456,megynkelly.us,fake,,,
457,mentor2day.com,fake,,,
458,metropolitanworlds.com,fake,,,
459,militianews.com,conspiracy,bias,hate,
460,mintpressnews.com,political,,,
461,molonlabemedia.com,bias,conspiracy,,
462,moonofalabama.org,bias,,,
463,morningledger.com,unreliable,conspiracy,,
464,morningnewsusa.com,unreliable,,,
465,mpidailymagazine.com,fake,bias,,
466,mrc.org,political,bias,,
467,mrconservative.com,fake,satire,,
468,msnbc.website,fake,,,
469,mydailyrelaxation.com,unknown,,,N
470,myfreshnews.com,fake,bias,,
471,myzonetoday.com,fake,bias,,
472,nahadaily.com,satire,,,
473,nakedcapitalism.com,political,,,
474,nasamoonhoax.com,conspiracy,,,
475,nationalreport.net,satire,fake,,
476,nationalreview.com,political,,,
477,NationalUFOCenter.com,conspiracy,,,
478,nationalvanguard.org,hate,,,
479,nationindistress.weebly.com,conspiracy,,,
480,nationonenews.com,fake,conspiracy,,
481,naturalblaze.com,junksci,conspiracy,,
482,naturalnews.com,junksci,conspiracy,,
483,naturalnewsblogs.com,junksci,,,
484,nbc.com.co,fake,,,
485,nbcpolitics.org,unknown,,,N
486,nbcpoll.com,unknown,,,N
487,ncscooper.com,satire,,,
488,neonnettle.com,conspiracy,fake,bias,
489,nephef.com,fake,,,
490,nevo.news,unreliable,bias,,
491,newcenturytimes.com,unreliable,bias,,
492,newcoldwar.org,political,,,
493,newpoliticstoday.com,fake,,,
494,news-hound.com,unknown,,,N
495,news-hound.org,unknown,,,N
496,news4ktla.com,fake,satire,,
497,newsbbc.net,fake,,,
498,newsbiscuit.com,satire,,,
499,newsbreakers.org,satire,,,
500,newsbreakshere.com,fake,,,
501,NewsBuster.com,unknown,,,
502,newsbysquad.com,fake,,,
503,newscenterusa.com,unknown,,,
504,newscorpse.com,political, , ,
505,newsdaily12.com,fake,,,
506,newsexaminer.net,fake,satire, ,
507,newsfrompolitics.com,fake,,,
508,newsleak.co,fake,,,
509,newslo.com,fake,,,
510,newslogue.com,bias,fake,,
511,newsmagazine.com,fake,,,
512,Newsmax.com,unreliable,bias,,
513,newsmutiny.com,satire,fake,,
514,newsninja2012.com,bias, ,,
515,newsopening.com,unknown,,,N
516,newstarget.com,conspiracy,,,
517,newsthump.com,satire,,,
518,newstoad.net,satire,,,
519,newswatch28.com,fake,,,
520,newswatch33.com,fake,,,
521,newswire-24.com,rumor,unreliable,,
522,newswithviews.com,fake,conspiracy,,
523,newyorker.com/humor,satire,,,
524,nodisinfo.com,conspiracy,unreliable,,
525,NoMoreFakeNews.com,conspiracy,,,
526,nonaiswa.org/wordpress,unknown,,,
527,northcrane.com,unreliable,,,
528,notallowedto.com,clickbait,fake,,
529,NoTime4Bull.com,unknown,,,
530,now8news.com,fake,,,
531,nowtheendbegins.com,conspiracy,,,
532,npiamerica.org,hate,bias,,
533,NutritionalAnarchy.com,unreliable,,,
534,nutritionfacts.org,reliable,,,
535,nymeta.co,clickbait,satire,,
536,nyuzer.com,unknown,,,
537,oann.com,political,reliable,,
538,oathkeepers.org,bias,,,
539,objectiveministries.org,satire,,,
540,observatorial.com,unknown,,,
541,observer.com,political,,,
542,OCCUPY.com,political,,,
543,occupydemocrats.com,clickbait,bias,unreliable,
544,occupyliberals.com,bias,clickbait,,
545,odgossip.com,unknown,,,N
546,off-guardian.org,bias,conspiracy,,
547,OffGridSurvival.com,conspiracy,bias,,
548,oftwominds.com,bias,conspiracy,,
549,oilgeopolitics.net,conspiracy,,,
550,onepoliticalplaza.com,fake,,,
551,onlineconservativepress.com,fake,conspiracy,bias,
552,opednews.com,unknown,,,N
553,openmagazines.com,fake,,,
554,openmindmagazine.com,bias,conspiracy,,
555,orientalreview.org,bias,conspiracy,,
556,other98.com,clickbait,bias,unreliable,
557,pakalertpress.com,fake,,,
558,palmerreport.com,bias,,,
559,pamelageller.com,conspiracy,fake,bias,
560,patdollar.com,bias,clickbait,,
561,patriotarchives.blogspot.com,unknown,,,
562,patriotchronicle.com,bias,clickbait,,
563,patriotnewsdaily.com,bias,,,
564,patriotnewsdaily.com,satire,,,
565,patriotpost.us,bias, ,,
566,patriotrising.com,bias,conspiracy,,
567,patriotupdate.com,bias,conspiracy,,
568,paulcraigroberts.org,bias,conspiracy,,
569,pjmedia.com,political,bias,,
570,platosguns.com,bias,conspiracy,bias,
571,policestateusa.com,unknown,,,
572,policyreview.info,unknown,,,
573,Politcalpiehole.com,unknown,,,
574,politicalblindspot.com,conspiracy,junksci,,
575,politicalcult.com,bias,clickbait,conspiracy,
576,politicalears.com,unreliable,clickbait,,
577,politicalo.com,fake, ,,
578,PoliticalPieHole.com,unknown,,,
579,politicalsitenews.com,fake,,,
580,politicaltimes.org,unknown,,,
581,PoliticalTracker.com,unknown,,,
582,politicalupdator.com,fake,clickbait,bias,
583,politicono.com,fake,,,
584,politicops.com,satire,fake,,
585,politicot.com,satire,fake,,
586,politicsbreaking.com,unknown,,,N
587,politicsinformation.com,unknown,,,N
588,politicsinfotoday.com,unknown,,,N
589,politicsintheusa.com,unreliable,bias,, 
590,politicsinusa.com,unknown,,,N
591,politicsusanews.com,fake,,,
592,politicususa.com,clickbait,unreliable,, 
593,pollhype.com,rumor,clickbait,bias,
594,powerlineblog.com,unknown,,,
595,powerpoliticians.com,unreliable,,,
596,pravda.ru,bias,rumor,conspiracy,
597,pravdareport.com,bias,rumor,conspiracy,
598,prepperwebsite.com,conspiracy,fake,,
599,president45donaldtrump.com,fake,,,
600,presidentialvoting2016.com,political,bias,unreliable,
601,press24.us,unknown,,,
602,presstv.com,bias,unreliable,,
603,presstv.ir,bias,unreliable,,
604,prisonplanet.com,conspiracy,,,
605,prisonplanet.com,conspiracy,,,
606,prisonplanet.tv,conspiracy,,,
607,prntly.com,fake,,,
608,proamericanews.com,fake,,,
609,progressivestoday.com,bias,,,
610,projectveritas.com,bias,unreliable,political,
611,proudcons.com,fake,bias,,
612,proudemocrat.com,political,,,
613,PublicIntelligence.net,unknown,,,
614,qpolitical.com,bias,clickbait,junksci,
615,randpaulreview.com,unknown,,,
616,rawforbeauty.com,junksci,,,
617,rawstory.com,political,clickbait,,
618,rawws.com,unknown,,,
619,rbth.com,unknown,,,
620,react365.com,fake,,,
621,readconservatives.news,bias,fake,clickbait,
622,readynutrition.com,unknown,conspiracy,,
623,reagancoalition.com,bias,fake,clickbait,
624,realfarmacy.com,junksci,conspiracy,,
625,realnewsrightnow.com,fake,satire,,
626,realplanetnews.com,junksci,,,
627,realprogress.online,unknown,,,
628,realtimepolitics.com,bias,unreliable,,
629,redcountry.us,fake,,,
630,redflagnews.com,bias,conspiracy,unreliable,
631,RedIceCreations.com,unknown,,,
632,redrocktribune.com,fake,,,
633,redstate.com,political,clickbait,,
634,redstatewatcher.com,bias,clickbait,,
635,reductress.com,satire,,,
636,regated.com,bias,,,
637,religionlo.com,satire,,,
638,religionmind.com,fake,,,
639,remedydaily.com,clickbait, ,,
640,rense.com,conspiracy,junksci,,
641,resistancereport.com,political,unreliable,,
642,responsibletechnology.org,junksci,,,
643,returnofkings.com,hate,,,
644,revolutions2040.com,junksci,clickbait,,
645,rhotv.com,fake,,,
646,rickwells.us,fake,conspiracy,,
647,rightalert.com,bias,unreliable,,
648,righton.com,unknown,,,
649,RightSideNews.com,unknown,,,
650,rightwingnews.com,bias,unreliable,,
651,rilenews.com,fake,satire,,
652,rinf.com,political,,,
653,rockcitytimes.com,satire,,,
654,rogue-nation3.com,fake,,,
655,ronpaulinstitute.org,political,,,
656,rumorjournal.com,fake,,,
657,rumormillnews.com,conspiracy,junksci,rumor,
658,ruptly.tv,political,,,
659,russia-direct.org,unknown,political,,
660,russia-insider.com,bias,clickbait,,
661,satiratribune.com,satire,,,
662,satirewire.com,satire,,,
663,scrappleface.com,satire,,,
664,secretsofthefed.com,conspiracy,junksci,,
665,sensationalisttimes.com,satire,,,
666,sentinelblog.com,conspiracy,junksci,,
667,sgtreport.com,unknown,,,
668,shadowproof.com,unknown,,,
669,ShadowStats.com,unknown,,,
670,shareblue.com,unreliable,political,bias,
671,sheepkillers.com,conspiracy,junksci,,
672,shiftfrequency.com,unknown,,,
673,shoebat.com,conspiracy,bias,,
674,shtfplan.com,unknown,,,
675,silentmajoritypatriots.com,unknown,,,
676,Silver-Coin-Investor. com,conspiracy,bias,unreliable,
677,SilverBearCafe.com,conspiracy,,,
678,SilverDoctors.com,conspiracy,bias,,
679,SilverStealers.net,conspiracy,,,
680,SJLendman.Blogspot.com,bias,,,
681,skeptiko.com,conspiracy,junksci,,
682,smag31.com,fake,unreliable,,
683,smartknowledgeu.com/blog,unknown,,,
684,socialeverythings.com,fake,,,
685,solari.com/blog,unknown,,,
686,sonsoflibertyradio.com,conspiracy,bias,unreliable,
687,sott.net,unknown,,,
688,sourceplanet.net,unknown,,,
689,southfront.org,unknown,,,
690,southweb.org,unknown,,,
691,SovereignMan.com,unreliable,,,
692,speciallifeentertainment.com,unknown,,,
693,speld.nl,satire,,,
694,spinzon.com,unknown,,,
695,sportspickle.com,satire,,,
696,sputniknews.com,bias,state,fake,
697,SRSroccoReport.com,unknown,,,
698,statenation.co,unknown,,,
699,STAWealth.com,unknown,,,
700,SteveQuayle.com,unknown,,,
701,stneotscitizen.com,satire,,,
702,stormcloudsgathering.com,fake,,,
703,strategic-culture.org,unknown,,,
704,stuppid.com,satire,,,
705,subjectpolitics.com,fake,bias,,
706,success-street.com,fake,clickbait,,
707,suggesthealthytips.com,unknown,,,
708,superstation95.com,unknown,,,
709,supremepatriot.com,fake,bias,,
710,surenews.com,unknown,,,
711,surrealscoop.com,satire,,,
712,SurvivalBlog.com,unknown,,,
713,SurvivalKnowHow.net,unknown,,,
714,survivopedia.com,unknown,,,
715,szandorblestman.com/index.php,unknown,,,
716,tap-news.com,unknown,,,
717,tdnewswire.com,unknown,,,
718,TDTalliance.com,fake,,,
719,teaparty.org,fake,unreliable,,
720,teapartyeconomist.com,unknown,,,
721,teapartytribune.com,unknown,,,
722,tellmenow.com,unknown,,,
723,TenthAmendmentCenter.com,unknown,,,
724,thatviralfeed.net,fake,unreliable,,
725,the-insider.co,fake,,,
726,the-newspapers.com,unknown,,,
727,theamericancause.org,unknown,,,
728,theamericanindependent.wordpress.com,fake,bias,,
729,theamericanmirror.com,unknown,,,
